page_url;city_from;city_to;phrase;total_count;top_1_phrase;top_1_count
https://city2city.ru/cheljabinsk-uchaly;Челябинск;село Учалы;такси Челябинск Учалы;93;такси учалы челябинск;93
https://city2city.ru/ufa-naberezhnye-chelny;Уфа;Набережные Челны;такси Уфа Набережные Челны;93;уфа набережные челны такси;93
https://city2city.ru/ekaterinburg-magnitogorsk;международный аэропорт Кольцово Екатеринбург;Магнитогорск;такси Екатеринбург Магнитогорск;82;такси магнитогорск екатеринбург;82
https://city2city.ru/mariupol-rostov-na-don;Мариуполь;Ростов-на-Дону;такси Мариуполь Ростов-на-Дону;76;такси ростов на дону мариуполь;76
https://city2city.ru/lugansk-volgograd;Луганск;Волгоград;такси Луганск Волгоград;70;такси волгоград луганск;70
https://city2city.ru/kazan-chistopol;Международный аэропорт Казань;Чистополь;такси Казань Чистополь;69;такси чистополь казань цена;7
https://city2city.ru/cheljabinsk-kurgan;Челябинск;Курган;такси Челябинск Курган;67;такси челябинск курган;67
https://city2city.ru/kazan-nizhniy_novgorod;Международный аэропорт Казань;Нижний Новгород;такси Казань Нижний Новгород;64;такси казань нижний новгород;64
https://city2city.ru/svo-taxi-shebekino-belgorod;Шебекино;Белгород;такси Шебекино Белгород;62;такси белгород шебекино;62
https://city2city.ru/lugansk-samara;Луганск;Самара;такси Луганск Самара;60;такси луганск самара;60
https://city2city.ru/svo-taxi-rossosh-voronezh;Россошь;Воронеж;такси Россошь Воронеж;60;такси воронеж россошь;60
https://city2city.ru/valuyki-belgorod;Валуйки;Белгород;такси Валуйки Белгород;60;такси валуйки белгород;60
https://city2city.ru/svo-taxi-gorlovka-moskva;Горловка;Москва;такси Горловка Москва;58;такси москва горловка;58
