city_from;city_to;page_url;template;phrase;total_count;top_1_phrase;top_1_count;top_2_phrase;top_2_count;top_3_phrase;top_3_count
Астрахань;Будённовск;https://city2city.ru/astraxan-budyonnovsk;такси {city_from} {city_to} цена;такси Астрахань Будённовск цена;0;;0;;0;;0
Астрахань;Ейск;https://city2city.ru/astraxan-ejsk;такси {city_from} {city_to};такси Астрахань Ейск;2;;0;;0;;0
Астрахань;Ейск;https://city2city.ru/astraxan-ejsk;трансфер {city_from} {city_to};трансфер Астрахань Ейск;0;;0;;0;;0
Астрахань;Ейск;https://city2city.ru/astraxan-ejsk;межгород {city_from} {city_to};межгород Астрахань Ейск;0;;0;;0;;0
Астрахань;Ейск;https://city2city.ru/astraxan-ejsk;такси {city_from} {city_to} цена;такси Астрахань Ейск цена;0;;0;;0;;0
Астрахань;Элиста;https://city2city.ru/astraxan-elista;такси {city_from} {city_to};такси Астрахань Элиста;89;такси элиста астрахань;89;такси элиста астрахань телефоны;11;;0
Астрахань;Элиста;https://city2city.ru/astraxan-elista;трансфер {city_from} {city_to};трансфер Астрахань Элиста;46;трансфер элиста астрахань;46;;0;;0
Астрахань;Элиста;https://city2city.ru/astraxan-elista;межгород {city_from} {city_to};межгород Астрахань Элиста;3;;0;;0;;0
Астрахань;Элиста;https://city2city.ru/astraxan-elista;такси {city_from} {city_to} цена;такси Астрахань Элиста цена;6;;0;;0;;0
Астрахань;Феодосия;https://city2city.ru/astraxan-feodosiya;такси {city_from} {city_to};такси Астрахань Феодосия;0;;0;;0;;0
Астрахань;Феодосия;https://city2city.ru/astraxan-feodosiya;трансфер {city_from} {city_to};трансфер Астрахань Феодосия;0;;0;;0;;0
Астрахань;Феодосия;https://city2city.ru/astraxan-feodosiya;межгород {city_from} {city_to};межгород Астрахань Феодосия;0;;0;;0;;0
Астрахань;Феодосия;https://city2city.ru/astraxan-feodosiya;такси {city_from} {city_to} цена;такси Астрахань Феодосия цена;0;;0;;0;;0
Астрахань;Геленджик;https://city2city.ru/astraxan-gelendzhik;такси {city_from} {city_to};такси Астрахань Геленджик;2;;0;;0;;0
Астрахань;Геленджик;https://city2city.ru/astraxan-gelendzhik;трансфер {city_from} {city_to};трансфер Астрахань Геленджик;3;;0;;0;;0
