page_url;city_from;city_to;phrase;total_count;top_1_phrase;top_1_count;top_2_phrase;top_2_count;top_3_phrase;top_3_count;related_json
https://city2city.ru/belgorod-nizhnij-novgorod;Белгород;Нижний Новгород;такси Белгород Нижний Новгород;12;такси белгород нижний новгород;12;;0;;0;"[{""phrase"": ""такси белгород нижний новгород"", ""count"": ""12""}]"
https://city2city.ru/belgorod-novyj_oskol;Белгород;Новый Оскол;такси Белгород Новый Оскол;16;такси белгород новый оскол;16;;0;;0;"[{""phrase"": ""такси белгород новый оскол"", ""count"": ""16""}]"
https://city2city.ru/belgorod-obninsk;Белгород;Обнинск;такси Белгород Обнинск;4;;0;;0;;0;[]
https://city2city.ru/belgorod-oboyan;Белгород;Обоянь;такси Белгород Обоянь;2;;0;;0;;0;[]
https://city2city.ru/belgorod-orel;Белгород;Орёл;такси Белгород Орёл;13;такси белгород орел;13;;0;;0;"[{""phrase"": ""такси белгород орел"", ""count"": ""13""}]"
https://city2city.ru/belgorod-penza;Белгород;Пенза;такси Белгород Пенза;6;такси белгород пенза;6;;0;;0;"[{""phrase"": ""такси белгород пенза"", ""count"": ""6""}]"
https://city2city.ru/belgorod-petrozavodsk;Белгород;Петрозаводск;такси Белгород Петрозаводск;1;;0;;0;;0;[]
https://city2city.ru/belgorod-pskov;Белгород;Псков;такси Белгород Псков;2;;0;;0;;0;[]
https://city2city.ru/belgorod-ramenskoe;Белгород;Раменское;такси Белгород Раменское;0;;0;;0;;0;[]
https://city2city.ru/belgorod-rossosh;Белгород;Россошь;такси Белгород Россошь;55;такси россошь белгород;55;россошь белгород такси цена;11;;0;"[{""phrase"": ""такси россошь белгород"", ""count"": ""55""}, {""phrase"": ""россошь белгород такси цена"", ""count"": ""11""}]"
https://city2city.ru/belgorod-rossosh-2;Белгород;Россошь;такси Белгород Россошь;55;такси россошь белгород;55;россошь белгород такси цена;11;;0;"[{""phrase"": ""такси россошь белгород"", ""count"": ""55""}, {""phrase"": ""россошь белгород такси цена"", ""count"": ""11""}]"
https://city2city.ru/belgorod-rovenki;Белгород;посёлок городского типа Ровеньки;такси Белгород посёлок городского типа Ровеньки;0;;0;;0;;0;[]
https://city2city.ru/belgorod-ryazan;Белгород;Рязань;такси Белгород Рязань;7;;0;;0;;0;[]
https://city2city.ru/belgorod-rylsk;Белгород;Рыльск;такси Белгород Рыльск;0;;0;;0;;0;[]
https://city2city.ru/belgorod-samara;Белгород;Самара;такси Белгород Самара;23;такси белгород самара;23;самара белгород такси цена;7;;0;"[{""phrase"": ""такси белгород самара"", ""count"": ""23""}, {""phrase"": ""самара белгород такси цена"", ""count"": ""7""}]"
